Date,Adj Close,Close,High,Low,Open,Volume
,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
2025-11-03,12.670000076293945,12.670000076293945,12.9399995803833,11.789999961853027,12.149999618530273,0
2025-11-04,12.649999618530273,12.649999618530273,12.9399995803833,10.979999542236328,12.670000076293945,0
2025-11-06,12.40999984741211,12.40999984741211,12.869999885559082,12.0600004196167,12.649999618530273,0
2025-11-07,12.5600004196167,12.5600004196167,12.670000076293945,11.960000038146973,12.40999984741211,0
2025-11-10,12.300000190734863,12.300000190734863,12.930000305175781,11.40999984741211,12.5600004196167,0
2025-11-11,12.489999771118164,12.489999771118164,13.010000228881836,11.989999771118164,12.300000190734863,0
2025-11-12,12.109999656677246,12.109999656677246,12.710000038146973,11.4399995803833,12.489999771118164,0
2025-11-13,12.15999984741211,12.15999984741211,12.270000457763672,11.229999542236328,12.109999656677246,0
2025-11-14,11.9399995803833,11.9399995803833,12.449999809265137,11.800000190734863,12.15999984741211,0
2025-11-17,11.789999961853027,11.789999961853027,12.279999732971191,10.899999618530273,11.9399995803833,0
2025-11-18,12.100000381469727,12.100000381469727,12.289999961853027,10.9399995803833,11.789999961853027,0
2025-11-19,11.970000267028809,11.970000267028809,12.380000114440918,10.770000457763672,12.100000381469727,0
2025-11-20,12.140000343322754,12.140000343322754,12.380000114440918,11.0600004196167,11.970000267028809,0
2025-11-21,13.630000114440918,13.630000114440918,13.850000381469727,12.140000343322754,12.140000343322754,0
2025-11-24,13.239999771118164,13.239999771118164,13.630000114440918,11.9399995803833,13.630000114440918,0
2025-11-25,12.239999771118164,12.239999771118164,13.239999771118164,10.859999656677246,13.239999771118164,0
2025-11-26,11.970000267028809,11.970000267028809,12.569999694824219,11.59000015258789,12.239999771118164,0
2025-11-27,11.789999961853027,11.789999961853027,12.239999771118164,11.510000228881836,11.970000267028809,0
2025-11-28,11.619999885559082,11.619999885559082,11.789999961853027,10.819999694824219,11.789999961853027,0
2025-12-01,11.630000114440918,11.630000114440918,12.010000228881836,10.899999618530273,11.619999885559082,0
2025-12-02,11.229999542236328,11.229999542236328,11.9399995803833,11.029999732971191,11.630000114440918,0
2025-12-03,11.210000038146973,11.210000038146973,11.369999885559082,10.920000076293945,11.229999542236328,0
2025-12-04,10.819999694824219,10.819999694824219,11.270000457763672,10.579999923706055,11.210000038146973,0
2025-12-05,10.319999694824219,10.319999694824219,10.869999885559082,10.15999984741211,10.819999694824219,0
2025-12-08,11.130000114440918,11.130000114440918,11.609999656677246,10.140000343322754,10.319999694824219,0
2025-12-09,10.949999809265137,10.949999809265137,11.880000114440918,10.460000038146973,11.130000114440918,0
2025-12-10,10.90999984741211,10.90999984741211,11.420000076293945,10.489999771118164,10.949999809265137,0
2025-12-11,10.399999618530273,10.399999618530273,11.1899995803833,10.319999694824219,10.90999984741211,0
2025-12-12,10.109999656677246,10.109999656677246,10.399999618530273,9.960000038146973,10.399999618530273,0
2025-12-15,10.25,10.25,10.84000015258789,10.050000190734863,10.109999656677246,0
2025-12-16,10.0600004196167,10.0600004196167,10.430000305175781,9.65999984741211,10.25,0
2025-12-17,9.84000015258789,9.84000015258789,10.180000305175781,9.479999542236328,10.0600004196167,0
2025-12-18,9.710000038146973,9.710000038146973,9.949999809265137,9.609999656677246,9.84000015258789,0
2025-12-19,9.520000457763672,9.520000457763672,10.3100004196167,9.4399995803833,9.710000038146973,0
2025-12-22,9.680000305175781,9.680000305175781,9.899999618530273,8.859999656677246,9.520000457763672,0
2025-12-23,9.380000114440918,9.380000114440918,9.789999961853027,9.319999694824219,9.680000305175781,0
2025-12-24,9.1899995803833,9.1899995803833,9.680000305175781,8.880000114440918,9.380000114440918,0
2025-12-26,9.149999618530273,9.149999618530273,9.399999618530273,9.020000457763672,9.1899995803833,0
2025-12-29,9.720000267028809,9.720000267028809,9.770000457763672,9.050000190734863,9.149999618530273,0
2025-12-30,9.680000305175781,9.680000305175781,9.989999771118164,9.59000015258789,9.720000267028809,0
2025-12-31,9.479999542236328,9.479999542236328,9.729999542236328,9.3100004196167,9.680000305175781,0
2026-01-02,9.449999809265137,9.449999809265137,9.5600004196167,8.970000267028809,9.1899995803833,0
2026-01-05,10.020000457763672,10.020000457763672,10.220000267028809,9.289999961853027,9.449999809265137,0
2026-01-06,10.020000457763672,10.020000457763672,10.289999961853027,9.649999618530273,10.020000457763672,0
2026-01-07,9.949999809265137,9.949999809265137,10.239999771118164,9.75,10.020000457763672,0
2026-01-08,10.600000381469727,10.600000381469727,10.989999771118164,9.479999542236328,9.949999809265137,0
2026-01-09,10.930000305175781,10.930000305175781,11.039999961853027,10.220000267028809,10.600000381469727,0
2026-01-12,11.369999885559082,11.369999885559082,11.949999809265137,10.520000457763672,10.930000305175781,0
